"","year","mine.name","mine.state","countystr","mine.status","operation.type","operating.company","production.stons","average.employees","labor.hours","total.stons","total.employee"
"214",2004,"K3","Kentucky (East)","Harlan","Active","Mine only","Harlan Cumberland Coal Company",318,15,"44,071",6636,1173
"215",2004,"Mine No 3","Kentucky (East)","Harlan","Active","Mine only","H & D Mining, Inc.",82,29,"44,388",6636,1173
"216",2004,"No. 1 Wallins","Kentucky (East)","Harlan","Active","Mine only","Rex Coal Co. Inc.",356,16,"45,586",6636,1173
"217",2004,"Clover Fork No. 1","Kentucky (East)","Harlan","Active","Mine only","Lone Mountain Processing, Inc.",268,52,"129,240",6636,1173
"218",2004,"Limestone Mine","Kentucky (East)","Harlan","Active","Mine only","Powell Mountain Coal Co., Inc.",170,46,"97,790",6636,1173
"219",2004,"Darby #2","Kentucky (East)","Harlan","Active","Mine only","Powell Mountain Coal Co., Inc.",323,28,"37,993",6636,1173
"220",2003,"Mine No. 1","Kentucky (East)","Harlan","Active","Mine only","Highlands Mining & Processing",159,37,"77,857",3482,1017
"221",2003,"Darby Mine No 1","Kentucky (East)","Harlan","Active","Mine only","Kentucky Darby Llc",164,31,"63,879",3482,1017
"222",2003,"No. 2","Kentucky (East)","Harlan","Active","Mine only","A & M Coal Co., Inc.",135,35,"72,672",3482,1017
"223",2003,"B & D #3","Kentucky (East)","Harlan","Active","Mine only","B & D Mining L.L.C.",203,77,"192,816",3482,1017
"224",2003,"B & D # 4","Kentucky (East)","Harlan","Active","Mine only","B & D Mining L.L.C.",147,74,"139,726",3482,1017
"225",2003,"B & D #5","Kentucky (East)","Harlan","Active","Mine only","B & D Mining Llc",71,33,"50,496",3482,1017
"226",2003,"Darby Fork No 1","Kentucky (East)","Harlan","Active","Mine only","Lone Mountain Processing Inc",5,125,"327,284",3482,1017
"227",2003,"R B #4","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Company Inc",178,41,"102,020",3482,1017
"228",2003,"C3 Mine","Kentucky (East)","Harlan","Active","Mine only","Rex Coal Company, Inc.",246,13,"38,344",3482,1017
"229",2003,"Rb #5","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Company Inc",88,23,"56,581",3482,1017
"230",2003,"Huff Creek No 1","Kentucky (East)","Harlan","Active","Mine only","Lone Mountain Processing Inc",12,148,"376,252",3482,1017
"231",2003,"No 18","Kentucky (East)","Harlan","Active","Mine only","Harlan Cumberland Coal Company",253,12,"24,305",3482,1017
"232",2003,"D & C Mining  Corp,","Kentucky (East)","Harlan","Active","Mine only","D & C Mining Corp",33,17,"32,525",3482,1017
"233",2003,"Mine No. 2","Kentucky (East)","Harlan","Active","Mine only","New Phase Mining Llc",124,7,"4,393",3482,1017
"234",2003,"Rb 10","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Company Inc",50,21,"55,053",3482,1017
"235",2003,"K3","Kentucky (East)","Harlan","Active","Mine only","Harlan Cumberland Coal Company",156,12,"18,752",3482,1017
"236",2003,"Kok #4","Kentucky (East)","Harlan","Active","Mine only","Kelly Branch Resources, Inc.",112,12,"1,692",3482,1017
"237",2003,"No. 1 Wallins","Kentucky (East)","Harlan","Active","Mine only","Rex Coal Co. Inc.",166,10,"12,836",3482,1017
"238",2003,"Limestone Mine","Kentucky (East)","Harlan","Active","Mine only","Powell Mountain Coal Co Inc",278,23,"21,125",3482,1017
"239",2003,"Mine No 1","Kentucky (East)","Harlan","Active","Mine only","Stillhouse Mining Llc",255,40,"99,113",3482,1017
"240",2003,"Mine No 1","Kentucky (East)","Harlan","Active","Mine only","Cave Spur Coal Llc",207,36,"90,947",3482,1017
"241",2003,"Mine No1","Kentucky (East)","Harlan","Active","Mine only","Panther Mining Llc",269,58,"139,243",3482,1017
"242",2003,"Mine No 1","Kentucky (East)","Harlan","Active","Mine only","Cloverlick Coal Company Llc",2,61,"151,338",3482,1017
"243",2003,"Creech #1","Kentucky (East)","Harlan","Active","Mine only","Powell Mountain Coal Co., Inc",149,51,"113,813",3482,1017
"244",2003,"Clover Fork No. 1","Kentucky (East)","Harlan","Active","Mine only","Lone Mountain Processing, Inc.",20,20,"18,388",3482,1017
"245",2002,"Mine No. 1","Kentucky (East)","Harlan","Active","Mine only","Highlands Mining & Processing",161,38,"83,694",3173,873
"246",2002,"Darby Mine No 1","Kentucky (East)","Harlan","Active","Mine only","Kentucky Darby Llc",158,30,"64,887",3173,873
"247",2002,"No. 2","Kentucky (East)","Harlan","Active","Mine only","A & M Coal Co., Inc.",17,31,"49,004",3173,873
"248",2002,"B & D #3","Kentucky (East)","Harlan","Active","Mine only","B & D Mining L.L.C.",99,18,"5,587",3173,873
"249",2002,"Darby Fork No 1","Kentucky (East)","Harlan","Active","Mine only","Lone Mountain Processing Inc",8,149,"347,432",3173,873
"250",2002,"C2","Kentucky (East)","Harlan","Active","Mine only","Harlan Cumberland Coal Company",104,46,"132,184",3173,873
"251",2002,"R B # 4","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Co. Inc.",180,45,"89,437",3173,873
"252",2002,"C3 Mine","Kentucky (East)","Harlan","Active","Mine only","Rex Coal Company, Inc.",293,13,"38,633",3173,873
"253",2002,"Rb #5","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Company Inc",100,23,"47,034",3173,873
"254",2002,"Mine No 1","Kentucky (East)","Harlan","Active","Mine only","Stillhouse Mining Llc",222,33,"83,125",3173,873
"255",2002,"Huff Creek No 1","Kentucky (East)","Harlan","Active","Mine only","Lone Mountain Processing Inc",10,166,"388,397",3173,873
"256",2002,"D & C Mining  Corp,","Kentucky (East)","Harlan","Active","Mine only","D & C Mining Corp",257,15,"22,012",3173,873
"257",2002,"Mine No 1","Kentucky (East)","Harlan","Active","Mine only","Lakeway Mining Incorporated",127,24,"55,028",3173,873
"258",2002,"Mine No 1","Kentucky (East)","Harlan","Active","Mine only","Cave Spur Coal Llc",352,68,"161,138",3173,873
"259",2002,"Mine No1","Kentucky (East)","Harlan","Active","Mine only","Panther Mining Llc",373,21,"24,091",3173,873
"260",2002,"Mine No 1","Kentucky (East)","Harlan","Active","Mine only","Cloverlick Coal Company Llc",380,62,"152,680",3173,873
"261",2002,"Rb 10","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Company Inc",92,21,"43,692",3173,873
"262",2002,"Mine No. 4","Kentucky (East)","Harlan","Active","Mine only","Kincaid Mining Co. Inc.",40,8,"6,859",3173,873
"263",2002,"Creech #1","Kentucky (East)","Harlan","Active","Mine only","Powell Mountain Coal Co., Inc.",200,62,"132,142",3173,873
"264",2001,"Mine No. 1","Kentucky (East)","Harlan","Active","Mine only","Highlands Mining & Processing",185,38,"78,798",4963,1219
"265",2001,"B & D #2","Kentucky (East)","Harlan","Active","Mine only","B & D Mining Llc",58,13,"7,672",4963,1219
"266",2001,"B & D # 1","Kentucky (East)","Harlan","Active","Mine only","B & D Mining, Llc.",25,39,"33,920",4963,1219
"267",2001,"Brd #3","Kentucky (East)","Harlan","Active","Mine only","Br&d Enterprises, Inc.",327,84,"216,149",4963,1219
"268",2001,"Darby Mine No. 1","Kentucky (East)","Harlan","Active","Mine only","Kentucky Darby Llc",52,20,"33,648",4963,1219
"269",2001,"# 3","Kentucky (East)","Harlan","Active","Mine only","Northpoint Resources Llc",160,35,"77,888",4963,1219
"270",2001,"Mine No. 2","Kentucky (East)","Harlan","Active","Mine only","A & M Coal Co., Inc.",157,26,"12,696",4963,1219
"271",2001,"Darby Fork No. 1","Kentucky (East)","Harlan","Active","Mine only","Lone Mountain Processing, Inc.",4,123,"300,008",4963,1219
"272",2001,"C2","Kentucky (East)","Harlan","Active","Mine only","Harlan Cumberland Coal Company",184,65,"187,087",4963,1219
"273",2001,"R B # 4","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Co. Inc.",193,45,"94,413",4963,1219
"274",2001,"D2 Mine","Kentucky (East)","Harlan","Active","Mine only","Harlan Cumberland Coal Company",201,15,"45,035",4963,1219
"275",2001,"# 1","Kentucky (East)","Harlan","Active","Mine only","Northpoint Resources, Llc",332,26,"19,541",4963,1219
"276",2001,"# 2","Kentucky (East)","Harlan","Active","Mine only","Northpoint Resources, Llc",86,36,"64,592",4963,1219
"277",2001,"Rb #5","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Company Inc",130,23,"51,501",4963,1219
"278",2001,"Mine No. 1","Kentucky (East)","Harlan","Active","Mine only","Stillhouse Mining Llc",272,34,"85,717",4963,1219
"279",2001,"Huff Creek No. 1","Kentucky (East)","Harlan","Active","Mine only","Lone Mountain Processing Inc.",14,163,"394,812",4963,1219
"280",2001,"Mine #16","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Company Inc",148,42,"83,539",4963,1219
"281",2001,"Mine # 19","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Co. Inc",129,26,"50,528",4963,1219
"282",2001,"D & C Mining","Kentucky (East)","Harlan","Active","Mine only","D & C Mining Corp.",375,10,"5,509",4963,1219
"283",2001,"Mine No.1","Kentucky (East)","Harlan","Active","Mine only","High Splint Coal Llc",176,31,"76,932",4963,1219
"284",2001,"Mine No.1","Kentucky (East)","Harlan","Active","Mine only","Cave Spur Coal, Llc",358,64,"158,527",4963,1219
"285",2001,"Pathfork Mine #1","Kentucky (East)","Harlan","Active","Mine only","Maggard Mining",399,23,"44,268",4963,1219
"286",2001,"Mine No.1","Kentucky (East)","Harlan","Active","Mine only","Cloverlick Coal Company, Llc",281,47,"117,169",4963,1219
"287",2001,"Rb 10","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Co., Inc.",95,22,"50,297",4963,1219
"288",2001,"KentuckyWallins","Kentucky (East)","Harlan","Active","Mine only","Powell Mountain Coal Co., Inc.",218,81,"178,461",4963,1219
"289",2001,"Bullhorn Mine","Kentucky (East)","Harlan","Active","Mine only","Bledsoe Coal Corporation",231,32,"80,221",4963,1219
"290",2001,"Creech #1","Kentucky (East)","Harlan","Active","Mine only","Powell Mountain Coal Co., Inc.",173,56,"121,066",4963,1219
"291",2000,"Mine No. 1","Kentucky (East)","Harlan","Active","Mine only","Highlands Mining & Processing",383,NA,"",4872,NA
"292",2000,"No.12","Kentucky (East)","Harlan","Active","Mine only","HarLee Coal Co., Inc.",57,NA,"",4872,NA
"293",2000,"No. 14 Mine","Kentucky (East)","Harlan","Active","Mine only","HarLee Coal Co., Inc.",348,NA,"",4872,NA
"294",2000,"Brd #3","Kentucky (East)","Harlan","Active","Mine only","Br&d Enterprises, Inc.",357,NA,"",4872,NA
"295",2000,"Darby Fork No. 1","Kentucky (East)","Harlan","Active","Mine only","Lone Mountain Processing, Inc.",388,NA,"",4872,NA
"296",2000,"C2","Kentucky (East)","Harlan","Active","Mine only","Harlan Cumberland Coal Company",282,NA,"",4872,NA
"297",2000,"R B # 4","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Co. Inc.",232,NA,"",4872,NA
"298",2000,"# 1","Kentucky (East)","Harlan","Active","Mine only","Northpoint Resources, Llc",137,NA,"",4872,NA
"299",2000,"Darby # 3","Kentucky (East)","Harlan","Active","Mine only","Hunter Coales Llc",32,NA,"",4872,NA
"300",2000,"#1","Kentucky (East)","Harlan","Active","Mine only","A&m Coal Co. Inc.",119,NA,"",4872,NA
"301",2000,"Rb #5","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Co. Inc.",93,NA,"",4872,NA
"302",2000,"Mine No. 1","Kentucky (East)","Harlan","Active","Mine only","Stillhouse Mining Llc",263,NA,"",4872,NA
"303",2000,"Huff Creek No. 1","Kentucky (East)","Harlan","Active","Mine only","Lone Mountain Processing Inc.",11,NA,"",4872,NA
"304",2000,"Mine # 16","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Co., Inc.",162,NA,"",4872,NA
"305",2000,"Mine # 17","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Co., Inc.",118,NA,"",4872,NA
"306",2000,"Mine # 19","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Co. Inc",136,NA,"",4872,NA
"307",2000,"Rb #8","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Co., Inc.",23,NA,"",4872,NA
"308",2000,"Mine # 1","Kentucky (East)","Harlan","Active","Mine only","B & A Mining Inc.",209,NA,"",4872,NA
"309",2000,"Mine No.1","Kentucky (East)","Harlan","Active","Mine only","High Splint Coal Llc",175,NA,"",4872,NA
"310",2000,"Pathfork Mine #1","Kentucky (East)","Harlan","Active","Mine only","Maggard Mining",39,NA,"",4872,NA
"311",2000,"Mine No.1","Kentucky (East)","Harlan","Active","Mine only","Cloverlick Coal Company, Llc",289,NA,"",4872,NA
"312",2000,"Bullhorn Mine","Kentucky (East)","Harlan","Active","Mine only","Bledsoe Coal Corporation",172,NA,"",4872,NA
"313",2000,"Rb 10","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Co., Inc.",16,NA,"",4872,NA
"314",2000,"# 3","Kentucky (East)","Harlan","Active","Mine only","Tricoal, Inc.",150,NA,"",4872,NA
"315",2000,"KentuckyWallins","Kentucky (East)","Harlan","Active","Mine only","Powell Mountain Coal Co., Inc.",226,NA,"",4872,NA
"316",2000,"Mine No.1","Kentucky (East)","Harlan","Active","Mine only","Cave Spur Coal, Llc",230,NA,"",4872,NA
"317",2000,"Creech #1","Kentucky (East)","Harlan","Active","Mine only","Powell Mountain Coal Co., Inc.",225,NA,"",4872,NA
"318",2011,"No 9","Virginia","Dickenson","Active","Mine only","Bristol Coal Corp",87,16,"33,424",623,339
"319",2011,"Lmm","Virginia","Dickenson","Active","Mine only","Estep Coal Co Inc",118,17,"49,365",623,339
"320",2011,"No 8","Virginia","Dickenson","Active","Mine only","Capital Coal Corporation",74,13,"27,400",623,339
"321",2011,"No 10","Virginia","Dickenson","Active","Mine only","Four O Mining Corporation",96,14,"26,811",623,339
"322",2011,"Deep Mine 41","Virginia","Dickenson","Active","Mine only","Paramont Coal Company Virginia",52,94,"209,456",623,339
"323",2011,"Deep Mine 37","Virginia","Dickenson","Active","Mine only","Paramont Coal Company Virginia",121,48,"94,753",623,339
"324",2011,"Cherokee Mine","Virginia","Dickenson","Active","Mine only","DickensonRussell Coal Co Llc",48,101,"202,051",623,339
"325",2011,"Roaring Fork No 4","Virginia","Dickenson","Active","Mine only","DickensonRussell Coal Co Llc",27,36,"80,526",623,339
"326",2010,"No 9","Virginia","Dickenson","Active","Mine only","Bristol Coal Corp",117,16,"33,101",535,280
"327",2010,"Lmm","Virginia","Dickenson","Active","Mine only","Estep Coal Co Inc",141,17,"44,573",535,280
"328",2010,"No 8","Virginia","Dickenson","Active","Mine only","Capital Coal Corporation",56,11,"18,865",535,280
"329",2010,"No 10","Virginia","Dickenson","Active","Mine only","Four O Mining Corporation",43,9,"11,501",535,280
"330",2010,"Cherokee Mine","Virginia","Dickenson","Active","Mine only","DickensonRussell Coal Co Llc",50,96,"191,543",535,280
"331",2010,"Roaring Fork No 4","Virginia","Dickenson","Active","Mine only","DickensonRussell Coal Co Llc",31,44,"86,264",535,280
"332",2010,"Deep Mine 41","Virginia","Dickenson","Active","Mine only","Paramont Coal Company Virginia",80,32,"78,049",535,280
"333",2010,"Deep Mine 37","Virginia","Dickenson","Active","Mine only","Paramont Coal Company Virginia",17,55,"120,026",535,280
"334",2009,"#2","Virginia","Dickenson","Active","Mine only","Calvary Coal Corp",11,13,"14,522",585,244
"335",2009,"No 9","Virginia","Dickenson","Active","Mine only","Bristol Coal Corp",146,19,"38,467",585,244
"336",2009,"Lmm","Virginia","Dickenson","Active","Mine only","Estep Coal Co Inc",138,16,"43,881",585,244
"337",2009,"No 8","Virginia","Dickenson","Active","Mine only","Capital Coal Corporation",60,8,"16,815",585,244
"338",2009,"Cherokee Mine","Virginia","Dickenson","Active","Mine only","DickensonRussell Coal Co Llc",57,100,"189,972",585,244
"339",2009,"Roaring Fork No 4","Virginia","Dickenson","Active","Mine only","DickensonRussell Coal Co Llc",68,65,"129,330",585,244
"340",2009,"Deep Mine 37","Virginia","Dickenson","Active","Mine only","Paramont Coal Company Virginia",105,23,"45,969",585,244
"341",2008,"Mine No. 9","Virginia","Dickenson","Active","Mine only","C. S. & S. Coal Corporation",10,18,"40,075",748,329
"342",2008,"Mine #1","Virginia","Dickenson","Active","Mine only","New Birth Mining Llc",116,14,"7,134",748,329
"343",2008,"No 11","Virginia","Dickenson","Active","Mine only","Apple Jacks Coal Company Inc",24,7,"7,277",748,329
"344",2008,"No. 9","Virginia","Dickenson","Active","Mine only","Bristol Coal Corp.",163,21,"44,221",748,329
"345",2008,"Lmm","Virginia","Dickenson","Active","Mine only","Estep Coal Co Inc",155,16,"45,233",748,329
"346",2008,"No 8","Virginia","Dickenson","Active","Mine only","Capital Coal Corporation",35,6,"2,099",748,329
"347",2008,"No 2","Virginia","Dickenson","Active","Mine only","Black Dog Coal Corporation",32,55,"117,486",748,329
"348",2008,"Cherokee Mine","Virginia","Dickenson","Active","Mine only","DickensonRussell Coal Co Llc",99,115,"249,311",748,329
"349",2008,"Roaring Fork No 4","Virginia","Dickenson","Active","Mine only","DickensonRussell Coal Co., Ll",114,77,"165,282",748,329
"350",2007,"Mine No. 9","Virginia","Dickenson","Active","Mine only","C. S. & S. Coal Corporation",161,15,"35,083",565,356
"351",2007,"No 11","Virginia","Dickenson","Active","Mine only","Apple Jacks Coal Company Inc",41,10,"11,228",565,356
"352",2007,"No. 9","Virginia","Dickenson","Active","Mine only","Bristol Coal Corp.",14,21,"42,017",565,356
"353",2007,"Lmm","Virginia","Dickenson","Active","Mine only","Estep Coal Co Inc",61,16,"22,109",565,356
"354",2007,"Premium","Virginia","Dickenson","Active","Mine only","The Banner Company",25,39,"75,489",565,356
"355",2007,"No 2","Virginia","Dickenson","Active","Mine only","Black Dog Coal Corporation",30,55,"116,826",565,356
"356",2007,"Cherokee Mine","Virginia","Dickenson","Active","Mine only","DickensonRussell Coal Co Llc",111,117,"256,153",565,356
"357",2007,"Roaring Fork No 4","Virginia","Dickenson","Active","Mine only","DickensonRussell Coal Co., Ll",122,83,"174,862",565,356
"358",2006,"No. 4","Virginia","Dickenson","Active","Mine only","L & J Equipment Company",158,19,"39,515",607,381
"359",2006,"Nme","Virginia","Dickenson","Active","Mine only","Estep Coal Company Inc",110,16,"42,879",607,381
"360",2006,"Mine No. 9","Virginia","Dickenson","Active","Mine only","C. S. & S. Coal Corporation",4,16,"36,030",607,381
"361",2006,"No. 9","Virginia","Dickenson","Active","Mine only","Bristol Coal Corp.",37,12,"12,261",607,381
"362",2006,"No 2","Virginia","Dickenson","Active","Mine only","Black Dog Coal Corporation",38,53,"107,901",607,381
"363",2006,"Laurel Mountain","Virginia","Dickenson","Active","Mine only","DickensonRussell Coal Company",97,98,"204,269",607,381
"364",2006,"Cherokee Mine","Virginia","Dickenson","Active","Mine only","DickensonRussell Coal Company",104,115,"260,955",607,381
"365",2006,"Roaring Fork No 4","Virginia","Dickenson","Active","Mine only","DickensonRussell Coal Co Llc",59,52,"104,181",607,381
"366",2005,"No. 4","Virginia","Dickenson","Active","Mine only","L & J Equipment Company",3,19,"40,250",917,415
"367",2005,"Mine No 7","Virginia","Dickenson","Active","Mine only","FourO-Mining Company Inc",127,13,"21,311",917,415
"368",2005,"Nme","Virginia","Dickenson","Active","Mine only","Estep Coal Company Inc",126,16,"43,443",917,415
"369",2005,"Mine No. 9","Virginia","Dickenson","Active","Mine only","C. S. & S. Coal Corporation",156,12,"28,632",917,415
"370",2005,"No 8","Virginia","Dickenson","Active","Mine only","Bristol Coal Corp",137,15,"29,551",917,415
"371",2005,"No 2","Virginia","Dickenson","Active","Mine only","Black Dog Coal Corporation",9,43,"78,161",917,415
"372",2005,"Laurel Mountain","Virginia","Dickenson","Active","Mine only","DickensonRussell Coal Company",83,81,"173,618",917,415
"373",2005,"Cherokee Mine","Virginia","Dickenson","Active","Mine only","DickensonRussell Coal Company",107,108,"239,454",917,415
"374",2005,"No. 3 Mine","Virginia","Dickenson","Active","Mine only","Apple Jacks Coal Company, Inc.",81,15,"18,235",917,415
"375",2005,"Roaring Fork No. 3","Virginia","Dickenson","Active","Mine only","DickensonRussell Coal Company",88,93,"187,205",917,415
"376",2004,"No. 4","Virginia","Dickenson","Active","Mine only","L & J Equipment Company",162,18,"38,988",912,358
"377",2004,"Mine No 7","Virginia","Dickenson","Active","Mine only","FourO-Mining Company Inc",129,14,"24,322",912,358
"378",2004,"#44","Virginia","Dickenson","Active","Mine only","Gbl Enterprises, Inc.",109,11,"24,267",912,358
"379",2004,"Nme","Virginia","Dickenson","Active","Mine only","Estep Coal Company Inc",150,15,"44,112",912,358
"380",2004,"No 2","Virginia","Dickenson","Active","Mine only","Black Dog Coal Corporation",13,31,"69,422",912,358
"381",2004,"Laurel Mountain","Virginia","Dickenson","Active","Mine only","DickensonRussell Coal Company",66,63,"140,250",912,358
"382",2004,"Cherokee Mine","Virginia","Dickenson","Active","Mine only","DickensonRussell Coal Company",91,93,"216,355",912,358
"383",2004,"No. 3 Mine","Virginia","Dickenson","Active","Mine only","Apple Jacks Coal Company, Inc.",85,14,"14,501",912,358
"384",2004,"Roaring Fork No. 3","Virginia","Dickenson","Active","Mine only","DickensonRussell Coal Company",102,85,"171,500",912,358
"385",2004,"No 8","Virginia","Dickenson","Active","Mine only","Bristol Coal Corp",5,14,"30,832",912,358
"386",2003,"No. 4","Virginia","Dickenson","Active","Mine only","L & J Equipment Company",15,18,"37,143",944,351
"387",2003,"Mine No 7","Virginia","Dickenson","Active","Mine only","FourO-Mining Company Inc",120,14,"19,546",944,351
"388",2003,"#44","Virginia","Dickenson","Active","Mine only","Gbl Enterprises, Inc.",119,11,"26,444",944,351
"389",2003,"Mine #3","Virginia","Dickenson","Active","Mine only","Champion Coal Co Inc",40,16,"5,844",944,351
"390",2003,"No. 3 Mine","Virginia","Dickenson","Active","Mine only","Apple Jacks Coal Company, Inc.",106,12,"15,020",944,351
"391",2003,"Nme","Virginia","Dickenson","Active","Mine only","Estep Coal Co., Inc.",157,16,"44,338",944,351
"392",2003,"Mine #1","Virginia","Dickenson","Active","Mine only","Kelly Branch Resources Incorpo",70,13,"14,394",944,351
"393",2003,"No 8","Virginia","Dickenson","Active","Mine only","Bristol Coal Corp",42,6,"6,625",944,351
"394",2003,"Mine No 2","Virginia","Dickenson","Active","Mine only","Black Dog Coal Corp",8,22,"44,528",944,351
"395",2003,"Laurel Mountain","Virginia","Dickenson","Active","Mine only","DickensonRussell Coal Company",65,60,"128,740",944,351
"396",2003,"Cherokee Mine","Virginia","Dickenson","Active","Mine only","DickensonRussell Coal Company",89,91,"196,466",944,351
"397",2003,"Roaring Fork No. 3","Virginia","Dickenson","Active","Mine only","DickensonRussell Coal Company",113,72,"155,335",944,351
"398",2002,"No. 4","Virginia","Dickenson","Active","Mine only","L & J Equipment Company",145,17,"30,285",1262,436
"399",2002,"Mine No 7","Virginia","Dickenson","Active","Mine only","FourO-Mining Company Inc",125,13,"23,113",1262,436
"400",2002,"#44","Virginia","Dickenson","Active","Mine only","Gbl Enterprises, Inc.",100,12,"23,658",1262,436
"401",2002,"No. 3","Virginia","Dickenson","Active","Mine only","Cove Coal Co., Inc.",78,13,"23,055",1262,436
"402",2002,"#1","Virginia","Dickenson","Active","Mine only","Providence Mining, Inc.",67,17,"25,796",1262,436
"403",2002,"No. 3 Mine","Virginia","Dickenson","Active","Mine only","Apple Jacks Coal Company, Inc.",69,9,"15,526",1262,436
"404",2002,"Nme","Virginia","Dickenson","Active","Mine only","Estep Coal Co., Inc.",140,16,"44,853",1262,436
"405",2002,"No. 1","Virginia","Dickenson","Active","Mine only","Champion Coal Co., Inc.",142,14,"30,667",1262,436
"406",2002,"Mine  No. 2","Virginia","Dickenson","Active","Mine only","Black Dog Coal Corp.",75,13,"22,901",1262,436
"407",2002,"Laurel Mountain","Virginia","Dickenson","Active","Mine only","DickensonRussell Coal Company",84,81,"150,110",1262,436
"408",2002,"Cherokee Mine","Virginia","Dickenson","Active","Mine only","DickensonRussell Coal Company",82,93,"166,733",1262,436
"409",2002,"Roaring Fork No 3 Mine","Virginia","Dickenson","Active","Mine only","Clinchfield Coal Company",93,68,"120,989",1262,436
"410",2002,"Mine #1","Virginia","Dickenson","Active","Mine only","Kelly Branch Resources, Inc.",62,70,"146,701",1262,436
"411",2001,"No. 1","Virginia","Dickenson","Active","Mine only","Long Ridge Coal Co., Inc.",147,15,"31,115",1377,482
"412",2001,"Mine No. 7","Virginia","Dickenson","Active","Mine only","Four ""o"" Mining Co., Inc.",143,14,"24,263",1377,482
"413",2001,"#1","Virginia","Dickenson","Active","Mine only","Providence Mining, Inc.",98,18,"33,952",1377,482
"414",2001,"Nme","Virginia","Dickenson","Active","Mine only","Estep Coal Co., Inc.",153,16,"44,984",1377,482
"415",2001,"#44","Virginia","Dickenson","Active","Mine only","Gbl Enterprises, Inc.",149,12,"26,376",1377,482
"416",2001,"No. 3","Virginia","Dickenson","Active","Mine only","Cove Coal Co., Inc.",33,8,"9,241",1377,482
"417",2001,"No. 1","Virginia","Dickenson","Active","Mine only","Champion Coal Co., Inc.",58,11,"17,308",1377,482
"418",2001,"No. 3 Mine","Virginia","Dickenson","Active","Mine only","Apple Jacks Coal Company, Inc.",2,5,"833",1377,482
"419",2001,"Mcclure No. 2 Mine","Virginia","Dickenson","Active","Mine only","Clinchfield Coal Company",160,20,"40,766",1377,482
"420",2001,"Laurel Mountain Mine","Virginia","Dickenson","Active","Mine only","Clinchfield Coal Company",108,82,"167,000",1377,482
"421",2001,"Cherokee Mine","Virginia","Dickenson","Active","Mine only","Clinchfield Coal Company",92,93,"200,373",1377,482
"422",2001,"Deep Mine #28","Virginia","Dickenson","Active","Mine only","Paramont Coal Corporation",47,46,"101,738",1377,482
"423",2001,"Roaring Fork No. 3 Mine","Virginia","Dickenson","Active","Mine only","Clinchfield Coal Company",115,68,"143,594",1377,482
"424",2001,"Deep Mine #30","Virginia","Dickenson","Active","Mine only","Paramont Coal Corporation",72,74,"175,582",1377,482
"425",2000,"No. 1","Virginia","Dickenson","Active","Mine only","Long Ridge Coal Co., Inc.",95,NA,"",1220,NA
"426",2000,"Mine No. 7","Virginia","Dickenson","Active","Mine only","Four ""o"" Mining Co., Inc.",154,NA,"",1220,NA
"427",2000,"#1","Virginia","Dickenson","Active","Mine only","Providence Mining, Inc.",123,NA,"",1220,NA
"428",2000,"No. 2","Virginia","Dickenson","Active","Mine only","L & J Equipment Company",16,NA,"",1220,NA
"429",2000,"Nme","Virginia","Dickenson","Active","Mine only","Estep Coal Co., Inc.",101,NA,"",1220,NA
"430",2000,"No. 1","Virginia","Dickenson","Active","Mine only","Outback Mining, Llc",51,NA,"",1220,NA
"431",2000,"No. 2","Virginia","Dickenson","Active","Mine only","Manna Coal Corp",112,NA,"",1220,NA
"432",2000,"No. 1","Virginia","Dickenson","Active","Mine only","Champion Coal Co., Inc.",18,NA,"",1220,NA
"433",2000,"Mcclure No. 2 Mine","Virginia","Dickenson","Active","Mine only","Clinchfield Coal Company",46,NA,"",1220,NA
"434",2000,"#44","Virginia","Dickenson","Active","Mine only","Gbl Enterprises, Inc.",148,NA,"",1220,NA
"435",2000,"Laurel Mountain Mine","Virginia","Dickenson","Active","Mine only","Clinchfield Coal Company",90,NA,"",1220,NA
"436",2000,"Vicc No. 7 Mine","Virginia","Dickenson","Active","Mine only","Coastal Coal Company, Llc",29,NA,"",1220,NA
"437",2000,"Cherokee Mine","Virginia","Dickenson","Active","Mine only","Clinchfield Coal Company",54,NA,"",1220,NA
"438",2000,"Deep Mine #28","Virginia","Dickenson","Active","Mine only","Paramont Coal Corporation",63,NA,"",1220,NA
