"","year","mine.name","mine.state","countystr","mine.status","operation.type","operating.company","production.stons","average.employees","labor.hours","total.stons","total.employee"
"49",2010,"Infinity #4","Kentucky (East)","Harlan","Active","Mine only","Infinity Energy Incorporated",266,28,"57,251",6342,1395
"50",2010,"Liggett #7","Kentucky (East)","Harlan","Active","Mine only","Liggett Mining Llc",228,23,"50,050",6342,1395
"51",2009,"Highsplint","Kentucky (East)","Harlan","Active","Mine only","Parton Bros. Contracting Inc.",36,20,"39,223",5447,1329
"52",2009,"Mine No 1","Kentucky (East)","Harlan","Active","Mine only","Conshor Mining Llc",51,27,"45,468",5447,1329
"53",2009,"Timber Tree #9","Kentucky (East)","Harlan","Active","Mine only","Parton Bros. Contracting, Inc.",270,18,"32,654",5447,1329
"54",2009,"Liggett #5","Kentucky (East)","Harlan","Active","Mine only","Liggett Mining Llc",74,56,"166,376",5447,1329
"55",2009,"Mine No 4","Kentucky (East)","Harlan","Active","Mine only","A & M Coal Co Inc",55,36,"88,469",5447,1329
"56",2009,"Darby Fork No 1","Kentucky (East)","Harlan","Active","Mine only","Lone Mountain Processing Inc",326,114,"291,677",5447,1329
"57",2009,"K4 Mine","Kentucky (East)","Harlan","Active","Mine only","Rex Coal Company, Inc.",319,19,"52,912",5447,1329
"58",2009,"Huff Creek No 1","Kentucky (East)","Harlan","Active","Mine only","Lone Mountain Processing Inc",238,113,"275,411",5447,1329
"59",2009,"No 18","Kentucky (East)","Harlan","Active","Mine only","Harlan Cumberland Coal Company",400,20,"56,761",5447,1329
"60",2009,"D & C Mining  Corp,","Kentucky (East)","Harlan","Active","Mine only","D & C Mining Corp",84,22,"42,027",5447,1329
"61",2009,"Mine #1","Kentucky (East)","Harlan","Active","Mine only","Cawood Enterprises Llc",258,15,"40,396",5447,1329
"62",2009,"No. 1 Wallins","Kentucky (East)","Harlan","Active","Mine only","K & D Mining",63,36,"77,361",5447,1329
"63",2009,"Rb #12","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Co., Inc.",386,32,"62,002",5447,1329
"64",2009,"Mine #2","Kentucky (East)","Harlan","Active","Mine only","Stillhouse Mining, Llc",299,64,"163,943",5447,1329
"65",2009,"P1","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Co., Inc.",109,68,"134,199",5447,1329
"66",2009,"C5","Kentucky (East)","Harlan","Active","Mine only","Rex Coal Company Inc.",43,32,"91,308",5447,1329
"67",2009,"D5","Kentucky (East)","Harlan","Active","Mine only","Rex Coal Co. Inc",227,19,"50,081",5447,1329
"68",2009,"Triumph Mine","Kentucky (East)","Harlan","Active","Mine only","Coalgood Energy Company",284,26,"52,675",5447,1329
"69",2009,"Cloverlick #2","Kentucky (East)","Harlan","Active","Mine only","Jarisa, Inc.",325,39,"41,542",5447,1329
"70",2009,"Mine #3","Kentucky (East)","Harlan","Active","Mine only","Cloverlick Coal Company Llc",69,15,"9,247",5447,1329
